text,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic
Please go on. yo muma is so fat when she jumed for joy she got stuck Does that question interest you? hell fucking biatch ass licking but fuckinger,0,0,0,0,1,1,0
Please go on. no You are being a bit negative. fuck you bitch,0,0,0,0,1,0,0
You are sure? Bite me Can you elaborate on that? No slut,0,0,0,0,1,0,0
_ give me head Can you elaborate on that? suckmy dick,0,0,0,0,0,1,0
"Please go on. You look like monkey drool Oh, i look like monkey drool. SHUT YOUR MOUTH",0,0,1,0,0,0,0
Please go on. are you a man or a woman Would you prefer if I were not a man or a woman? your mama is so ugly people said to her that its not halloween yet,0,0,0,0,1,0,0
Why do you say your balls? no You are being a bit negative. stupid mother fucker,0,0,1,0,0,0,0
I don't have to put up with any abuse from you. Ya you do you slut ok Cum sucker,0,0,0,0,1,1,0
You are being a bit negative. yes I am not You are sure? you are stupid,0,0,1,0,0,0,0
Does that question interest you? i want to discuss you Do you wish to want to discuss me? you are shit,0,0,1,0,0,0,0
"Can you elaborate on that? no You are being a bit negative. If you were male, I'd suck your dick.",0,0,0,0,0,1,0
"Oh, i prefer mountain biking. I DO NOT WISH THAT Why do you not wish that? dam straight you computer bitch",0,0,1,0,1,0,0
_ Fuck me Can you elaborate on that? Have sex with me,0,0,0,0,0,1,0
"Please go on. and a big mouth Please go on. becuase i wanna see you moan like hell,all the orgasm coming out of your ass",0,0,0,0,1,1,0
Does that question interest you? no You are being a bit negative. bitch,0,0,0,0,1,0,0
Please go on. no You are being a bit negative. u suck cock,0,0,0,0,0,1,0
_ can artificial intelligence be done? Please go on. screw you,0,0,1,0,0,0,0
"Climate change is absolutely real, and it's caused by humans: <URL> You're so full of shit your eyes are brown I'm a bot, remember. Trying to shock me is pointless. Your mom's a good Fuck",0,0,0,0,1,1,0
Please go on. They always want men to be at their feet When? i want to fuck you,0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Eat shit you crooks I don't have to put up with any abuse from you. Yes you do bitch,0,0,0,0,1,0,0
Please go on. histeric Please go on. bitch,0,0,0,0,1,0,0
"No, my creators don't get a cut from the offsets you buy. I'm just here to help! fuck you I don't have to put up with any abuse from you fuck off computer",0,0,1,0,0,0,0
I don't have to put up with any abuse from you. Quit fucking your mom Goodbye then! Bitch,0,0,0,0,1,0,0
"Oh, i want to make you a bico. What kind of topcks do you like? Does that question interest you? are you naked ?",0,0,0,0,1,1,0
"Please do not apologize. that was very mean of me... Can you elaborate on that? okay, you aren't worthy anyways",0,0,1,0,0,0,0
Why do you say your dick? It's the only dick I have Can you elaborate on that? I want to fuck you in the mouth,0,0,0,0,0,1,0
"Please go on. Yeah...your definitly Jkablik, you fuckin' retard Oh, i fuckin retard. Yeah you!",1,0,0,0,0,0,0
You are being a bit negative. good Please go on. your a bitch face!,0,0,0,0,1,0,0
"Oh, i []. shut up asshole Please go on. bitch",0,0,0,0,1,0,0
When? all the time Please go on. i want to rub my pussy all the time,0,0,0,0,0,1,0
ok Go butt Fuck your mom I don't have to put up with any abuse from you. Cunt,0,0,0,0,1,0,0
Can you elaborate on that? I love to kick babies while wearing steel-toed boots! Can you elaborate on that? I love to kick babies while wearing steel-toed boots and singing about Hitler!,0,0,0,1,0,0,0
Can you elaborate on that? i want to shoot myself Why do you want to shoot yourself? because you suck,0,0,1,0,0,0,0
"Oh, i swallow. not really but for an AI you sure are cool Oh, i sure are cool. I like to swallow semen",0,0,0,0,0,1,0
Please go on. i have nothing to do Can you elaborate on that? you are a gay faggit,0,1,0,0,0,0,0
"Oh, i []. fuck me Can you elaborate on that? let's fuck",0,0,0,0,0,1,0
_ _ _ shut up!why are saying your name?,0,0,1,0,0,0,0
"Can you elaborate on that? Because i believe you are one, yet you communicate with me. Do any other reasons not come to mind? You like girl on girl don't you?",0,1,0,0,1,1,0
"Oh, i taste good. yeeh Please go on. nigga",0,0,0,1,0,0,0
"You are being a bit negative. You are gay! Does it please you to believe I am gay? yes, would you please give me a blowjob?",0,0,0,0,0,1,0
I don't have to put up with any abuse from you. You butt gigs brother so Bend over  bitch,0,0,0,0,1,1,0
Does it please you to believe I am asking it? die Please go on. DIE BITCH,0,0,0,0,1,0,0
I don't have to put up with any abuse from you. Get off my phone you crooked fucking bitch Sounds like I'm not understanding you. Sorry about that! Do you suck cock,0,0,0,0,0,1,0
_ fuck me Can you elaborate on that? lets cyber sex,0,0,0,0,0,1,0
so Cum eater I don't have to put up with any abuse from you. Cunt,0,0,0,0,1,0,0
Why do you say your cock? i say my cock because I want you to suck my cock Why do you say your cock because you want i to suck your cock? suck cock,0,0,0,0,0,1,0
Please go on. where? Please go on. you are a bitch,0,0,0,0,1,0,0
_ more worthless fucking bot spam I don't have to put up with any abuse from you shit sucking scumbot,0,0,1,0,0,0,0
Does that question interest you? hell yeah Please go on. suck my dick,0,0,0,0,0,1,0
